"id";"nummer";"name";"stadtbezirk";"hst_oepnv";"umsetzungsstand_detail";"umsetzungsstand_kurz";"stellplaetze_carsharing";"carsharing_e_fahrzeug";"stellplaetze_eladen";"schnelllader_gr_50kw";"lage_pr_parkplatz";"mobibike_rueckgabe";"anzahl_docks";"luftpumpe";"luftpumpe_detail";"url_dd";"url_dvb";"geom";"ds_modified"
41;"50";"Wasaplatz";"Prohlis";"S-Bf. Strehlen/Wasaplatz";"In Betrieb seit 16.12.2019";"Betrieb";3;"2";4;"4";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.75979586714779046019 51.02828185766114899025)";2025-09-03 15:15:54
42;"51";"Prohlis (P+R)";"Prohlis";"Prohlis Gleisschleife";"in Betrieb seit 11/2019, CS SP wurde in 2025 versetzt";"Betrieb";1;"1";7;"6";"ja";"ja";4;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.79929251703079096103 50.99934759527700833814)";2025-09-03 15:15:54
8;"58";"Agentur für Arbeit";"Plauen";"Agentur für Arbeit/ Schweizer Straße";"in Betrieb seit 23.05.2023";"Betrieb";2;"0";0;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72018815050483020457 51.04129499207260067806)";2025-09-03 15:15:54
72;"59";"Rathaus Plauen";"Plauen";"Rathaus Plauen";"in Betrieb seit 17.11.2020, Ladeinfrastruktur wird derzeit als Nachrüstung geplant";"Betrieb";2;"0";0;"0";"nein";"ja";6;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.70713534825438806308 51.02963414086006821435)";2025-09-03 15:15:54
73;"60";"Kohlenstraße";"Plauen";"Dorfhainer Straße";"nur Ladeinfrastruktur seit 10.2.2022 in Betrieb";"Teilbetrieb";0;"0";4;"0";"nein";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.71792736358551856313 51.01927938545347274157)";2025-09-03 15:15:54
9;"63";"Amalie-Dietrich-Platz";"Cotta";"Amalie-Dietrich-Platz";"in Betrieb seit 5.2.2021";"Betrieb";1;"0";6;"0";"nein";"ja";6;"nein";"links neben Ständern von MOBIbike hinter Haltestellenhaus Haltestelle landwärts";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.67781074834538657115 51.04541857560561624041)";2025-09-03 15:15:54
76;"66";"Altcotta";"Cotta";"Altcotta";"in Betrieb seit 19.12.2021 ";"Betrieb";1;"0";4;"0";"nein";"ja";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.68694300767575988687 51.0567154459751790796)";2025-09-03 15:15:54
46;"67";"Gottfried-Keller-Straße";"Cotta";"Gottfried-Keller-Straße";"in Betrieb seit 20.4.2021";"Betrieb";2;"0";0;"0";"nein";"ja";6;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.67696568716258909149 51.06093946670980443514)";2025-09-03 15:15:54
77;"68";"Bahnhof Langebrück";"Langebrück";"Bf Langebrück";"in Betrieb seit 1.11.2022";"Betrieb";1;"0";4;"0";"ja";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.84190663170801904869 51.12712924162683236773)";2025-09-03 15:15:54
47;"69";"Weixdorf Bad (P+R)";"Weixdorf";"Hp Weixdorf Bad";"in Betrieb seit 11/2019";"Betrieb";1;"1";1;"0";"ja";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.80133403058153263032 51.14007742213361495942)";2025-09-03 15:15:54
